characters: 950623
words: 9695
lines: 11237

carried  : 16 
crop  : 1 
failure  : 1 
enact  : 1 
drama  : 4 
events  : 10 
village  : 3 
breasts  : 2 
steal  : 3 
action  : 12 
parts  : 35 
dramatized  : 2 
speed  : 4 
processes  : 27 
brief  : 5 
glimpse  : 5 
countless  : 2 
freyr  : 3 
frey  : 1 
hoder  : 2 
balder  : 2 
mythologica  : 1 
notions  : 5 
flourished  : 6 
tamper  : 1 
evolving  : 1 
stories  : 7 
centuries  : 13 
zeus  : 4 
apollo  : 5 
hera  : 2 
athene  : 5 
dionysos  : 2 
ascle  : 1 
pios  : 1 
heracles  : 1 
hephaestos  : 3 
mention  : 13 
homer  : 3 
hesiod  : 2 
discuss  : 6 
earliest  : 8 
criticized  : 5 
resembled  : 2 
egoistic  : 3 
exponent  : 2 
nophanes  : 1 
image  : 9 
bodies  : 23 
clothes  : 13 
ethiopians  : 1 
flat  : 3 
nosed  : 1 
thracians  : 1 
blue  : 27 
eyed  : 3 
haired  : 4 
oxen  : 2 
lions  : 2 
draw  : 13 
depict  : 3 
period  : 53 
greeks  : 21 
founded  : 17 
city  : 40 
states  : 10 
colonies  : 2 
southern  : 5 
italy  : 7 
asia  : 7 
minor  : 5 
manual  : 1 
slaves  : 5 
citizens  : 13 
devote  : 2 
politics  : 8 
environments  : 1 
purely  : 19 
behalf  : 2 
citizen  : 10 
society  : 85 
organized  : 5 
individuals  : 11 
recourse  : 1 
ancient  : 29 
development  : 21 
mode  : 9 
based  : 10 
supernatural  : 14 
wandered  : 2 
especially  : 38 
classes  : 11 
knowing  : 11 
invent  : 1 
fantasy  : 2 
rose  : 20 
grip  : 5 
muriat  : 1 
imprisoned  : 2 
sikita  : 3 
prison  : 2 
brave  : 1 
prince  : 3 
bravato  : 1 
dance  : 6 
meadows  : 1 
singing  : 3 
song  : 5 
composed  : 7 
dank  : 1 
moved  : 16 
tears  : 9 
dried  : 1 
birds  : 15 
imitated  : 1 
golden  : 11 
tresses  : 1 
locks  : 1 
fell  : 12 
lilies  : 2 
liked  : 11 
bull  : 7 
gard  : 2 
thelayo  : 1 
heimdau  : 1 
haestos  : 1 
xenophanes  : 1 
pondering  : 4 
connection  : 14 
breath  : 7 
aren  : 13 
excuse  : 9 
opening  : 4 
shoulder  : 10 
embarrassing  : 9 
worse  : 9 
correspondence  : 4 
stranger  : 5 
playing  : 14 
hide  : 10 
seek  : 12 
substance  : 59 
water  : 100 
wine  : 11 
produce  : 9 
stupid  : 13 
nevertheless  : 34 
buzzing  : 2 
examining  : 2 
flower  : 18 
objection  : 1 
applied  : 11 
parable  : 1 
jesus  : 56 
literally  : 3 
miracle  : 5 
normally  : 3 
cucumber  : 3 
percent  : 7 
teacher  : 37 
weird  : 3 
frogs  : 4 
possibly  : 19 
consisted  : 13 
consist  : 13 
substances  : 11 
spawn  : 1 
tadpoles  : 1 
cabbage  : 1 
patch  : 1 
watered  : 1 
waiting  : 18 
days  : 37 
project  : 18 
directly  : 14 
lesson  : 5 
detours  : 2 
outline  : 7 
broadly  : 1 
ours  : 5 
grasp  : 10 
finding  : 10 
immortal  : 17 
soul  : 113 
line  : 21 
referring  : 13 
past  : 42 
